TimeStamp|Site|ArticleNumber|MCH5|BaseUoM|UnreUseQty|UnreConsQty|TransitQty|UnprSaleQty
20231002051008|1511|10197083|203030320|ZBO||||
20231002051008|1511|10141057|102060201|CHA||||
20231002051008|1511|10010492|102020602|HOP||||
20231002051008|1511|10628726|101040401|KH||||
20231002051008|1511|10283280|101020801|CAI||||
20231002051008|1511|10331649|201052003|CAI||||
20231002051008|1511|10283981|101060126|HOP||||
20231002051008|1511|10166283|201051101|ZBO||||
20231002051008|1511|10141688|102061302|G1||||
20231002051008|1511|10167129|203020299|CAI||||
20231002051008|1511|10237436|101030302|KG||||
20231002051008|1511|10016368|202030311|HOP||||
20231002051008|1511|10403956|203040604|CAI||||
20231002051008|1511|10311416|203030339|HOP||||
20231002051008|1511|10315777|202020209|HOP||||
20231002051008|1511|10141128|102061308|G1||||
20231002051008|1511|10197053|102070101|CAI||||
20231002051008|1511|10024031|203030320|HOP||||
20231002051008|1511|10628865|102060401|G1||||
20231002051008|1511|10167166|203030406|CAI||||
20231002051008|1511|10183882|101010302|HOP||||
20231002051008|1511|10182358|101040501|KG||||
20231002051008|1511|10164166|201052203|CAI||||
20231002051008|1511|10184270|101010201|G1||||
20231002051008|1511|10009041|102060501|G1||||
20231002051008|1511|10194276|102010309|CAI||||
20231002051008|1511|10242848|101050103|KG||||
20231002051008|1511|10331640|201051901|G2||||
20231002051008|1511|10281552|101030302|KG||||
20231002051008|1511|10142050|102060905|LY||||
20231002051008|1511|10132343|101030401|KG||||
20231002051008|1511|10010302|102060504|CHA||||
20231002051008|1511|10620966|203010503|CAI||||
20231002051008|1511|10162771|201030406|CAI||||
20231002051008|1511|10165418|201010401|CAI||||
20231002051008|1511|10195917|102010103|HOP||||
20231002051008|1511|10214650|102010305|HOP||||
20231002051008|1511|10603114|102010505|G1||||
20231002051008|1511|10331336|201052003|CAI||||
20231002051008|1511|10056267|102020602|HOP||||
20231002051008|1511|10315196|202030318|CHA||||
20231002051008|1511|10019779|202020207|VI||||
20231002051008|1511|10171078|202030502|CHA||||
20231002051008|1511|10323796|201030105|ZD||||
20231002051008|1511|10283909|101050602|KG||||
20231002051008|1511|10160991|202030314|CHA||||
20231002051008|1511|10243206|101030101|CAI||||
20231002051008|1511|10624397|202020104|G1||||
20231002051008|1511|10624469|203010503|CAI||||
20231002051008|1511|10164018|201052204|CAI||||
20231002051008|1511|10266132|201052102|CAI||||
20231002051008|1511|10012102|102030509|CHA||||
20231002051008|1511|10027105|203030227|KG||||
20231002051008|1511|10008533|102060503|LO||||
20231002051008|1511|10183325|101020402|G1||||
20231002051008|1511|10283717|101030102|CAI||||
20231002051008|1511|10330692|201010401|CAI||||
20231002051008|1511|10332022|201050902|ZBO||||
20231002051008|1511|10626082|101030302|KG||||
20231002051008|1511|10164312|201070905|CAI||||
20231002051008|1511|10242723|101030302|G1||||
20231002051008|1511|10602214|202030318|CHA||||
20231002051008|1511|10243073|101030101|CAI||||
20231002051008|1511|10165463|201010403|CAI||||
20231002051008|1511|10620348|101020102|G1||||
20231002051008|1511|10270714|203030320|CAI||||
20231002051008|1511|10622373|102060503|LO||||
20231002051008|1511|10192802|102010110|G1||||
20231002051008|1511|10321745|102050403|LY||||
20231002051008|1511|10241646|101030302|G1||||
20231002051008|1511|10054822|101060104|KG||||
20231002051008|1511|10150754|102030702|G1||||
20231002051008|1511|10194755|102030702|G1||||
20231002051008|1511|10190294|102010602|G1||||
20231002051008|1511|10282050|101040402|KG||||
20231002051008|1511|10013861|102010106|G1||||
20231002051008|1511|10183161|101040401|KG||||
20231002051008|1511|10141983|102061308|G1||||
20231002051008|1511|10626148|203020108|CAI||||
20231002051008|1511|10193880|102010602|HOP||||
20231002051008|1511|10007372|102061202|HOP||||
20231002051008|1511|10197337|102010504|LO||||
20231002051008|1511|10333282|203040101|CAI||||
20231002051008|1511|10171291|202030502|CHA||||
20231002051008|1511|10183335|102040105|HOP||||
20231002051008|1511|10300337|203030323|CAI||||
20231002051008|1511|10260759|201010401|CAI||||
20231002051008|1511|10182912|101010302|CAI||||
20231002051008|1511|10315134|101040401|KG||||
20231002051008|1511|10193461|102010203|G1||||
20231002051008|1511|10182187|101020201|KH||||
20231002051008|1511|10005946|102050303|CAI||||
20231002051008|1511|10284006|101060126|KG||||
20231002051008|1511|10241434|101030303|G1||||
20231002051008|1511|10033619|203040205|VI||||
20231002051008|1511|10639861|102060503|G1||||
20231002051008|1511|10034032|203040305|CAI||||
20231002051008|1511|10005278|102020701|CHA||||
20231002051008|1511|10330045|203040308|BO||||
20231002051008|1511|10195040|102010305|G1||||
20231002051008|1511|50006457|501020201|KG||||
20231002051008|1511|10282993|101010302|G1||||
20231002051008|1511|10283109|101030401|BOS||||
20231002051008|1511|10331945|201051901|G2||||
20231002051008|1511|10182406|101040501|KG||||
20231002051008|1511|10283421|101030302|G1||||
20231002051008|1511|10009363|102060505|CHA||||
20231002051008|1511|10325419|102010601|HOP||||
20231002051008|1511|10309939|203020107|CAI||||
20231002051008|1511|10281465|101020201|KH||||
20231002051008|1511|10625997|102020204|G5||||
20231002051008|1511|10263417|201011104|CAI||||
20231002051008|1511|10009398|102060509|G1||||
20231002051008|1511|10638851|202030401|CAI||||
20231002051008|1511|10266299|102020502|HOP||||
20231002051008|1511|10281472|101020201|KH||||
20231002051008|1511|10166344|201010401|CAI||||
20231002051008|1511|10323949|101040501|KG||||
20231002051008|1511|10264818|201010402|CAI||||
20231002051008|1511|10163985|201030407|CAI||||
20231002051008|1511|10195991|102010309|CAI||||
20231002051008|1511|10182853|102040305|HOP||||
20231002051008|1511|10403955|203020602|CAI||||
20231002051008|1511|10613668|102010102|HOP||||
20231002051008|1511|10012689|102030508|CHA||||
20231002051008|1511|10230546|102010205|HOP||||
20231002051008|1511|10616385|202030318|CHA||||
20231002051008|1511|10020506|202010201|G1||||
20231002051008|1511|10281993|101030402|KG||||
20231002051008|1511|10613529|101040501|KG||||
20231002051008|1511|10622559|101060209|G1||||
20231002051008|1511|10010657|102060703|HOP||||
20231002051008|1511|10005355|102020203|HOP||||
20231002051008|1511|10270733|203030320|CAI||||
20231002051008|1511|10613198|101020201|KH||||
20231002051008|1511|10315195|202030318|CHA||||
20231002051008|1511|10195905|102010299|HOP||||
20231002051008|1511|10164295|201070904|CAI||||
20231002051008|1511|10270299|203030310|CAI||||
20231002051008|1511|10197022|203030343|CAI||||
20231002051008|1511|10164195|201070906|CAI||||
20231002051008|1511|10053931|101030401|KG||||
20231002051008|1511|10195804|102010109|HOP||||
20231002051008|1511|10171256|202030311|ME||||
20231002051008|1511|10325038|102020901|CHA||||
20231002051008|1511|10405704|102020602|HOP||||
20231002051008|1511|10319407|202030318|CHA||||
20231002051008|1511|10141859|102061302|LO||||
20231002051008|1511|10018697|202030309|CHA||||
20231002051008|1511|10197588|102010402|G1||||
20231002051008|1511|10162803|201052301|CAI||||
20231002051008|1511|10283942|101050304|KG||||
20231002051008|1511|10026853|203030213|ZD||||
20231002051008|1511|10071741|101040501|KG||||
20231002051008|1511|10331454|203040799|QUY||||
20231002051008|1511|10083392|101020102|SU||||
20231002051008|1511|10225674|102010406|G1||||
20231002051008|1511|10263986|201030706|CAI||||
20231002051008|1511|10182943|101010101|CAI||||
20231002051008|1511|10195384|102010308|G1||||
20231002051008|1511|10263635|201010105|ZD||||
20231002051008|1511|10123480|101040501|KG||||
20231002051008|1511|10625615|203040799|QUY||||
20231002051008|1511|10196025|102010601|HOP||||
20231002051008|1511|10005626|102050302|G1||||
20231002051008|1511|10195573|102010301|G1||||
20231002051008|1511|10012310|102030603|CHA||||
20231002051008|1511|10183426|101020101|CAI||||
20231002051008|1511|10165785|201011103|CAI||||
20231002051008|1511|10166909|201051603|CAI||||
20231002051008|1511|10250429|203030212|CAI||||
20231002051008|1511|10605711|201070913|CAI||||
20231002051008|1511|10332641|203040799|QUY||||
20231002051008|1511|10270744|203030227|CUO||||
20231002051008|1511|10183218|101020102|SU||||
20231002051008|1511|10207074|102010602|HOP||||
20231002051008|1511|10331488|203040799|QUY||||
20231002051008|1511|10283520|101030302|G1||||
20231002051008|1511|10623340|102010203|LON||||
20231002051008|1511|10316797|203030341|CAI||||
20231002051008|1511|10012867|102030806|HOP||||
20231002051008|1511|10011217|102030408|CHA||||
20231002051008|1511|10163748|201030601|ZBO||||
20231002051008|1511|10600449|202030318|CHA||||
20231002051008|1511|10196476|102030603|CHA||||
20231002051008|1511|10330109|201010201|CAI||||
20231002051008|1511|10314721|203030203|ZBO||||
20231002051008|1511|10626741|102010303|G1||||
20231002051008|1511|50006391|501010101|CHI||||
20231002051008|1511|10241714|101030202|HOP||||
20231002051008|1511|10332607|203040511|QUY||||
20231002051008|1511|10162537|201010306|CAI||||
20231002051008|1511|10006035|102020303|HOP||||
20231002051008|1511|10283893|101050401|SU||||
20231002051008|1511|10183665|101020102|KG||||
20231002051008|1511|10260459|201030104|CAI||||
20231002051008|1511|10183849|102040401|G1||||
20231002051008|1511|10170806|202030306|CHA||||
20231002051008|1511|10242949|101030302|G1||||
20231002051008|1511|10165172|201071002|CAI||||
20231002051008|1511|10281143|101040101|KG||||
20231002051008|1511|10005530|102050306|G1||||
20231002051008|1511|10142049|102060905|LY||||
20231002051008|1511|10167143|203030208|G1||||
20231002051008|1511|10150525|102030411|CHA||||
20231002051008|1511|10284228|203010103|CAI||||
20231002051008|1511|10332551|201010403|CAI||||
20231002051008|1511|10227054|203040201|VI||||
20231002051008|1511|10613407|102010406|G1||||
20231002051008|1511|10163921|203010206|CAI||||
20231002051008|1511|10195707|102070101|CAI||||
20231002051008|1511|10197032|203030343|CAI||||
20231002051008|1511|10331338|201052003|CAI||||
20231002051008|1511|10181809|101020102|SU||||
20231002051008|1511|10150151|102030305|HOP||||
20231002051008|1511|10282809|101020102|LY||||
20231002051008|1511|10282295|101010301|CAI||||
20231002051008|1511|10628640|102010505|G1||||
20231002051008|1511|10318842|203020101|CAI||||
20231002051008|1511|10016430|202030303|G1||||
20231002051008|1511|10264505|201071003|CAI||||
20231002051008|1511|10330412|201010104|CAI||||
20231002051008|1511|10196530|203051601|CAI||||
20231002051008|1511|10183877|101010301|CAI||||
20231002051008|1511|10183384|102050202|HOP||||
20231002051008|1511|10023988|203030401|CAI||||
20231002051008|1511|10161346|202020104|G1||||
20231002051008|1511|10331546|203040799|QUY||||
20231002051008|1511|10161499|202030316|TUY||||
20231002051008|1511|10618502|101040201|KG||||
20231002051008|1511|10161569|201071003|G5||||
20231002051008|1511|10183817|102050303|G1||||
20231002051008|1511|10054669|101030302|KG||||
20231002051008|1511|10165621|201050902|ZBO||||
20231002051008|1511|10619409|102061003|LO||||
20231002051008|1511|10242686|101030303|KG||||
20231002051008|1511|10305623|102070102|CAI||||
20231002051008|1511|10183749|101020801|KG||||
20231002051008|1511|10005284|102020204|CHA||||
20231002051008|1511|10165391|201030502|CAI||||
20231002051008|1511|10181752|101020201|KH||||
20231002051008|1511|10196291|102010303|G1||||
20231002051008|1511|10284053|203040303|CAI||||
20231002051008|1511|10165309|201052003|CAI||||
20231002051008|1511|10142081|102061206|HOP||||
20231002051008|1511|10284163|203010104|CAI||||
20231002051008|1511|10183635|102040101|HOP||||
20231002051008|1511|10260681|201010902|CAI||||
20231002051008|1511|10281495|101030302|KG||||
20231002051008|1511|10141089|102060901|HOP||||
20231002051008|1511|10161348|202020109|G1||||
20231002051008|1511|10162329|202030615|CHA||||
20231002051008|1511|10283370|101030302|G1||||
20231002051008|1511|10194880|102030102|LON||||
20231002051008|1511|10330207|201010201|CAI||||
20231002051008|1511|10193861|102010601|HOP||||
20231002051008|1511|10242827|101030303|KG||||
20231002051008|1511|10020413|202030701|G1||||
20231002051008|1511|10625831|203040799|QUY||||
20231002051008|1511|10316245|102061206|HOP||||
20231002051008|1511|10013412|102010102|G1||||
20231002051008|1511|10242622|101030302|G1||||
20231002051008|1511|10012800|102030805|HOP||||
20231002051008|1511|10161761|202010301|G1||||
20231002051008|1511|10180252|102070102|CAI||||
20231002051008|1511|10170910|202010204|G1||||
20231002051008|1511|10240135|101040501|KH||||
20231002051008|1511|10282327|101020102|CAI||||
20231002051008|1511|10283170|101010302|CAI||||
20231002051008|1511|10193767|102010309|CAI||||
20231002051008|1511|10162402|202030504|CAI||||
20231002051008|1511|10142002|102060517|CHA||||
20231002051008|1511|10182033|101020801|KG||||
20231002051008|1511|10170364|102020204|CHA||||
20231002051008|1511|10282882|101030303|KG||||
20231002051008|1511|10182248|101020102|SU||||
20231002051008|1511|10234096|102060502|G1||||
20231002051008|1511|10330578|203010104|CAI||||
20231002051008|1511|10016733|202030502|CHA||||
20231002051008|1511|10183308|102050404|G1||||
20231002051008|1511|10283924|101050103|KG||||
20231002051008|1511|10016001|102010204|HOP||||
20231002051008|1511|10628092|203030223|CAI||||
20231002051008|1511|10226655|102030404|CHA||||
20231002051008|1511|10260157|201010306|CAI||||
20231002051008|1511|10625860|203040799|QUY||||
20231002051008|1511|10196535|102070101|CAI||||
20231002051008|1511|10142119|102060705|LON||||
20231002051008|1511|10166428|201010104|CAI||||
20231002051008|1511|10613697|101050103|KG||||
20231002051008|1511|10283437|101030303|KH||||
20231002051008|1511|10283765|101010201|G1||||
20231002051008|1511|10622313|202020205|CHA||||
20231002051008|1511|10037298|203010103|CAI||||
20231002051008|1511|10323575|202030506|HOP||||
20231002051008|1511|10282086|101050203|KG||||
20231002051008|1511|10162724|201011001|CAI||||
20231002051008|1511|10141713|102060703|LON||||
20231002051008|1511|10197077|102010308|G1||||
20231002051008|1511|10250831|203030332|ZBO||||
20231002051008|1511|10010066|102060207|CHA||||
20231002051008|1511|10142096|102060905|G1||||
20231002051008|1511|10251006|203030399|ZBO||||
20231002051008|1511|10141150|102060706|HOP||||
20231002051008|1511|10284192|203010402|VI||||
20231002051008|1511|10325199|102010209|G1||||
20231002051008|1511|10020354|202030202|HOP||||
20231002051008|1511|10266285|102020204|HOP||||
20231002051008|1511|10183490|102040504|G1||||
20231002051008|1511|10007816|102060606|G1||||
20231002051008|1511|10019475|202020104|CAN||||
20231002051008|1511|10007766|102060905|G1||||
20231002051008|1511|10406738|101020801|CAN||||
20231002051008|1511|10012115|102030508|CHA||||
20231002051008|1511|10184265|101010302|CAI||||
20231002051008|1511|10196306|102010602|G1||||
20231002051008|1511|10018767|202030321|CHA||||
20231002051008|1511|10282028|101050601|G1||||
20231002051008|1511|10170684|202030503|CHA||||
20231002051008|1511|10163929|203010206|CAI||||
20231002051008|1511|10005365|102020204|HOP||||
20231002051008|1511|10171245|202030316|TUY||||
20231002051008|1511|10194747|102010102|G1||||
20231002051008|1511|10021850|201010105|ZD||||
20231002051008|1511|10625706|203040799|QUY||||
20231002051008|1511|10196249|102010405|KG||||
20231002051008|1511|10627998|202030503|CHA||||
20231002051008|1511|10281926|101010302|CAI||||
20231002051008|1511|10028107|203020107|CAI||||
20231002051008|1511|10266069|201011104|CAI||||
20231002051008|1511|10626515|102010305|G1||||
20231002051008|1511|10263587|201011102|CAI||||
20231002051008|1511|10241694|101050401|G1||||
20231002051008|1511|10263435|201030504|CAI||||
20231002051008|1511|10165358|201050902|ZBO||||
20231002051008|1511|10306488|102050303|CAI||||
20231002051008|1511|10325162|102010302|KG||||
20231002051008|1511|10197405|203030211|CAI||||
20231002051008|1511|10323687|102060905|HOP||||
20231002051008|1511|10306550|102010205|G1||||
20231002051008|1511|10016952|202030314|CHA||||
20231002051008|1511|10629945|202030310|CHA||||
20231002051008|1511|10160055|202030904|CHA||||
20231002051008|1511|10053876|101030302|KG||||
20231002051008|1511|10170170|102020902|G4||||
20231002051008|1511|10165690|201030801|CAI||||
20231002051008|1511|10242361|101030202|G1||||
20231002051008|1511|10183353|102040407|G1||||
20231002051008|1511|10195900|102010507|G1||||
20231002051008|1511|10625703|203040799|QUY||||
20231002051008|1511|10639668|102010602|HOP||||
20231002051008|1511|10027149|203030211|CAI||||
20231002051008|1511|10183690|101020801|CHA||||
20231002051008|1511|10243034|101030101|CAI||||
20231002051008|1511|10260734|201010202|CAI||||
20231002051008|1511|10007930|102060905|G1||||
20231002051008|1511|10196576|203030401|CAI||||
20231002051008|1511|10282933|101020201|KG||||
20231002051008|1511|10282991|101010302|CAI||||
20231002051008|1511|10618620|203010103|HOP||||
20231002051008|1511|10606031|102061206|HOP||||
20231002051008|1511|10013614|102010103|KH||||
20231002051008|1511|10197428|102010205|HOP||||
20231002051008|1511|10625660|203040799|QUY||||
20231002051008|1511|10053359|101050501|KG||||
20231002051008|1511|10162434|202020210|HOP||||
20231002051008|1511|10192430|102010406|G1||||
20231002051008|1511|10140243|101050303|KG||||
20231002051008|1511|10142065|102060502|G1||||
20231002051008|1511|10282001|101030402|KG||||
20231002051008|1511|10025866|203030106|G1||||
20231002051008|1511|10123488|203030310|CAI||||
20231002051008|1511|10005349|102020701|HOP||||
20231002051008|1511|10607068|102010301|G1||||
20231002051008|1511|10333272|203040101|CAI||||
20231002051008|1511|10164597|203040799|QUY||||
20231002051008|1511|50005652|501020202|CAI||||
20231002051008|1511|10230523|102010602|HOP||||
20231002051008|1511|10150043|102030402|HOP||||
20231002051008|1511|10404001|101030303|G1||||
20231002051008|1511|10197016|203030343|CAI||||
20231002051008|1511|10183896|101020101|G1||||
20231002051008|1511|30000744|101010401|G||||
20231002051008|1511|10018212|202030316|HOP||||
20231002051008|1511|10324342|102050101|G1||||
20231002051008|1511|10625634|203040799|QUY||||
20231002051008|1511|10054235|101030401|G1||||
20231002051008|1511|10164601|201070903|ZBO||||
20231002051008|1511|10270092|101030303|KH||||
20231002051008|1511|10331978|201052102|CAI||||
20231002051008|1511|10171186|202020203|CHA||||
20231002051008|1511|10265883|101030303|KG||||
20231002051008|1511|10402871|201030105|ZD||||
20231002051008|1511|10162077|202030314|CHA||||
20231002051008|1511|10639175|202010301|G1||||
20231002051008|1511|10134071|202030615|CHA||||
20231002051008|1511|10270114|202010102|G1||||
20231002051008|1511|10170169|102020902|G4||||
20231002051008|1511|10197026|203030343|CAI||||
20231002051008|1511|10270726|203030212|CAI||||
20231002051008|1511|10026481|201071401|CAI||||
20231002051008|1511|10260727|201030104|CAI||||
20231002051008|1511|10250618|203030104|CAI||||
20231002051008|1511|10092383|203030310|CAI||||
20231002051008|1511|10196433|102010603|G1||||
20231002051008|1511|10282207|101030202|HOP||||
20231002051008|1511|10182457|102050202|G1||||
20231002051008|1511|10165371|201030701|ZBO||||
20231002051008|1511|10195429|102010108|G1||||
20231002051008|1511|10602889|102061205|HOP||||
20231002051008|1511|10162242|202030317|G1||||
20231002051008|1511|10309936|203010699|CAI||||
20231002051008|1511|10164566|203040799|QUY||||
20231002051008|1511|10083081|101020102|CON||||
20231002051008|1511|10614740|202020104|G1||||
20231002051008|1511|10624959|101020102|SU||||
20231002051008|1511|10161769|202020108|CHA||||
20231002051008|1511|10602242|202030501|CHA||||
20231002051008|1511|10332010|201010403|CAI||||
20231002051008|1511|10140580|101010101|HOP||||
20231002051008|1511|10601169|202030502|CHA||||
20231002051008|1511|10263346|201010403|CAI||||
20231002051008|1511|50006593|501020201|ZTO||||
20231002051008|1511|10183359|102040102|HOP||||
20231002051008|1511|10265171|201030407|CAI||||
20231002051008|1511|10009775|102060105|HOP||||
20231002051008|1511|10016878|202030501|CHA||||
20231002051008|1511|10282373|101050602|G1||||
20231002051008|1511|10282104|101020101|HOP||||
20231002051008|1511|10196280|102010201|KG||||
20231002051008|1511|10141866|102060905|G1||||
20231002051008|1511|10637860|102020602|G3||||
20231002051008|1511|10324075|102010505|G1||||
20231002051008|1511|10165945|201010401|CAI||||
20231002051008|1511|10163769|201030601|ZBO||||
20231002051008|1511|10283489|101050302|HOP||||
20231002051008|1511|10056993|202030401|CAI||||
20231002051008|1511|10283805|101050601|G1||||
20231002051008|1511|10192526|102010601|HOP||||
20231002051008|1511|10195191|102010305|G1||||
20231002051008|1511|50006130|501020801|CAI||||
20231002051008|1511|10141471|102061308|HOP||||
20231002051008|1511|10250999|203030336|ZBO||||
20231002051008|1511|10242692|101030301|KG||||
20231002051008|1511|10141612|102060705|LON||||
20231002051008|1511|10243455|101040403|KH||||
20231002051008|1511|10638833|202030311|CHA||||
20231002051008|1511|10134091|202030502|CHA||||
20231002051008|1511|10017791|202030311|CAI||||
20231002051008|1511|10620666|102030302|G1||||
20231002051008|1511|10241450|101030401|G1||||
20231002051008|1511|10171089|202020104|G1||||
20231002051008|1511|10325318|203020601|CAI||||
20231002051008|1511|10195904|102010299|HOP||||
20231002051008|1511|10315297|102040201|KH||||
20231002051008|1511|10170677|202020207|CHA||||
20231002051008|1511|10262294|201011104|CAI||||
20231002051008|1511|10023026|202030609|TUY||||
20231002051008|1511|10183584|102050303|G1||||
20231002051008|1511|10619024|202030502|CHA||||
20231002051008|1511|10281712|101030302|G1||||
20231002051008|1511|10331510|203040799|QUY||||
20231002051008|1511|10170868|202030307|TUY||||
20231002051008|1511|10606709|102020902|G4||||
20231002051008|1511|10017865|202030317|CHA||||
20231002051008|1511|10182446|101010301|G1||||
20231002051008|1511|10281809|101030302|G1||||
20231002051008|1511|10150217|102030102|LON||||
20231002051008|1511|10161213|201050404|CAI||||
20231002051008|1511|10166309|201030701|ZBO||||
20231002051008|1511|10141626|102061202|HOP||||
20231002051008|1511|10623063|101030302|KG||||
20231002051008|1511|10054857|101060102|KG||||
20231002051008|1511|10626386|201070303|ZD||||
20231002051008|1511|10197290|102010301|G1||||
20231002051008|1511|10316557|203030310|CAI||||
20231002051008|1511|10008247|102060606|G1||||
20231002051008|1511|10002615|203030310|CAI||||
20231002051008|1511|10003550|203030310|CAI||||
20231002051008|1511|10332697|203040799|QUY||||
20231002051008|1511|10263626|201010104|CAI||||
20231002051008|1511|10167119|203030332|ZBO||||
20231002051008|1511|10196219|102070101|CAI||||
20231002051008|1511|10007489|102061204|HOP||||
20231002051008|1511|10016813|202030502|CHA||||
20231002051008|1511|10621132|201071002|CAI||||
20231002051008|1511|10314442|101010303|CAI||||
20231002051008|1511|10170288|102020802|G4||||
20231002051008|1511|10282502|101050304|KG||||
20231002051008|1511|10007925|102060905|G1||||
20231002051008|1511|10012099|102030509|CHA||||
20231002051008|1511|10166979|201030703|ZBO||||
20231002051008|1511|10281792|101030302|G1||||
20231002051008|1511|10333315|203010501|CAI||||
